trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,sector_strength_raw,sector_strength_score,stock_leadership_vs_sector_raw,stock_leadership_vs_sector_score,broad_market_regime_alignment_raw,broad_market_regime_alignment_score,catalyst_quality_raw,catalyst_quality_score,catalyst_verification_confidence_raw,catalyst_verification_confidence_score,catalyst_freshness_relevance_raw,catalyst_freshness_relevance_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,score_pct_reachable,score_pct_fixed120,reachable_metric_count,unavailable_metrics,benchmark_symbol,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,news_article_count,news_fetch_status,admitted_event_count,best_event_type,source_tier,verification_status,freshest_event_age_minutes,sentiment,keyword_sentiment_hint,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,cost_model_id,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_v1.0_net_realized_return_pct,execution_policy_v1.0_cost_bps,execution_policy_v1.0_net_capture_ratio,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct,execution_policy_atr_v1.0_net_realized_return_pct,execution_policy_atr_v1.0_cost_bps,execution_policy_atr_v1.0_net_capture_ratio
2024-05-16,ALT,BBG001SNS461,false,42,72,8.870000,9.240000,1061760.455067,22250475.767000,476575085.770000,2.684294,4,0.040534,2,0.060037,3,0.025167,1,-23.078809,0,-0.724542,0,-1.712805,0,4.171364,3,1.387931,3,40.845070,0,0,0,0.600452,0,68.421053,3,64.583333,3,58.143322,2,0.563602,1,3.789199,1,-0.181436,0,,0,UNVERIFIED,0,,0,7.246014,3,4.847802,1,22250475.767000,2,1061760.455067,3,35,35.000000,35.000000,29.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,16,33.333333,alpha_v1.3_25m,20.833333,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,9.140000,9.500000,8.580000,8.910000,3.938731,-6.126915,-2.516411,2024-05-16T09:32:00-04:00,3.938731,-4.376368,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,AMC,BBG001SZYYL4,false,60,315,5.480000,4.990000,87578894.233400,497685196.084500,1358800699.360000,1.711959,3,-0.146886,0,-0.086091,0,-0.079303,0,0.390091,1,0.415435,1,-2.065845,0,-8.941606,0,-0.800203,0,39.808917,0,0,0,0.975229,0,36.363636,0,31.950974,0,44.283995,0,,,,,-0.181436,0,OFFERING_DILUTION,0,SINGLE_SOURCE,1,2596.066667,0,19.264859,4,15.875912,4,497685196.084500,4,87578894.233400,4,22,22.000000,22.000000,18.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,5,10.416667,alpha_v1.3_25m,,false,26,AVAILABLE,26,OFFERING_DILUTION,HIGH_QUALITY_WIRE,SINGLE_SOURCE,2596.066667,UNKNOWN,NEGATIVE,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,5.050000,5.300000,4.620000,4.630000,4.950495,-8.514851,-8.316832,2024-05-16T09:31:00-04:00,4.950495,0.600000,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,ARDX,BBG001WH4F33,true,13,16,7.850000,7.880000,83925.730000,46825341.499500,1822281015.650000,0.117737,0,,,,,,,,,,,,,0.382166,0,-0.473907,0,46.666667,0,0,0,0.226931,0,,,,,,,0.563602,1,0.000000,0,-0.181436,0,OTHER,1,SINGLE_SOURCE,1,,0,7.504459,3,1.273885,0,46825341.499500,3,83925.730000,0,9,9.000000,9.000000,7.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,0,0.000000,alpha_v1.3_25m,,false,2,AVAILABLE,2,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,7.820000,7.880000,7.740100,7.785000,0.767263,-1.021739,-0.447570,2024-05-16T10:30:00-04:00,0.639386,-0.255754,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,ARQT,BBG00QN8K4P1,true,12,40,9.240000,9.040000,254375.674667,26458641.592000,872090363.760000,0.525727,0,,,,,,,,,,,,,-2.164502,0,-0.152465,0,35.897436,0,0,0,0.266146,0,,,,,,,0.563602,1,-2.546668,0,-0.181436,0,EARNINGS,4,SINGLE_SOURCE,1,2403.566667,0,7.669063,3,2.056277,0,26458641.592000,3,254375.674667,1,13,13.000000,13.000000,10.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,0,0.000000,alpha_v1.3_25m,,false,2,AVAILABLE,2,EARNINGS,HIGH_QUALITY_WIRE,SINGLE_SOURCE,2403.566667,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,9.250000,9.620000,8.820000,9.120000,4.000000,-4.648649,-1.405405,2024-05-16T09:32:00-04:00,4.000000,-3.729730,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,AWIN,BBG011FT9PP4,true,27,96,6.280000,5.070000,375296.107300,16799068.453000,393681990.200000,1.967579,3,-0.063287,0,0.010635,0,0.028166,1,8.649258,4,0.662129,2,-0.477611,0,-19.267516,0,-0.699649,0,40.000000,0,1,1,0.315642,0,38.864143,0,54.389045,1,50.666489,1,0.469004,0,-19.555084,0,-0.181436,0,,0,UNVERIFIED,0,,0,21.131256,4,8.912420,2,16799068.453000,2,375296.107300,1,22,22.000000,22.000000,18.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,11,22.916667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,true,2,5.200000,6.479900,5.020000,5.210000,24.613462,-3.461538,0.192308,2024-05-16T09:37:00-04:00,24.613462,4.038462,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,BB,BBG001S60618,false,52,166,3.230000,3.190000,1921936.751333,37074953.971500,1890683500.670000,0.834965,0,0.034099,2,0.002400,0,-0.026955,0,-1.709686,0,-8.260202,0,0.146793,0,-1.238390,0,1.265252,3,36.363636,0,0,0,1.617785,3,55.592841,2,47.905653,0,45.949777,0,-0.311616,0,-0.745338,0,-0.181436,0,EARNINGS,4,SINGLE_SOURCE,1,37.000000,4,6.468377,2,8.656347,2,37074953.971500,3,1921936.751333,3,29,29.000000,29.000000,24.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,8,16.666667,alpha_v1.3_25m,16.666667,false,8,AVAILABLE,7,EARNINGS,OTHER,SINGLE_SOURCE,37.000000,UNKNOWN,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,3.170000,3.249900,3.000000,3.035000,2.520505,-5.362776,-4.258675,2024-05-16T09:31:00-04:00,2.520505,-1.419558,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,BCRX,BBG001S7K151,true,11,20,6.360000,6.400000,114729.732267,20556433.778500,1302587656.800000,0.759283,0,,,,,,,,,,,,,0.628931,0,-1.693138,0,42.105263,0,0,0,0.570272,0,,,,,,,0.563602,1,0.246765,0,-0.181436,0,OTHER,1,SINGLE_SOURCE,1,,0,7.418014,3,4.077044,1,20556433.778500,2,114729.732267,0,9,9.000000,9.000000,7.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,0,0.000000,alpha_v1.3_25m,,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,6.400000,6.590000,6.150000,6.465000,2.968750,-3.906250,1.015625,2024-05-16T09:32:00-04:00,2.968750,-1.484375,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,BITF,BBG00PGMZVM7,false,35,76,1.850000,1.790000,730396.416700,30014730.552500,595937625.100000,1.441545,2,-0.133693,0,-0.099782,0,-0.037101,0,-20.493727,0,-7.703289,0,1.241467,3,-3.243243,0,-2.568283,0,32.000000,0,0,0,0.796076,0,28.197674,0,29.838710,0,35.207101,0,,,,,-0.181436,0,EARNINGS,4,SINGLE_SOURCE,1,1499.966667,0,7.192278,3,5.405405,1,30014730.552500,3,730396.416700,2,19,19.000000,19.000000,15.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,5,10.416667,alpha_v1.3_25m,,false,2,AVAILABLE,2,EARNINGS,OTHER,SINGLE_SOURCE,1499.966667,UNKNOWN,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,1.790000,1.860000,1.750000,1.768000,3.910615,-2.234637,-1.229050,2024-05-16T09:36:00-04:00,3.910615,2.793296,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,BTG,BBG001T0CNW6,true,11,24,2.820000,2.830000,174495.082633,26631637.865000,3667477257.000000,0.626056,0,-0.003531,0,,,,,-14.998153,0,,,,,0.354610,0,-0.086021,0,21.739130,0,0,0,0.335860,0,50.000000,1,,,,,,,,,-0.181436,0,,0,UNVERIFIED,0,,0,3.102837,1,1.063830,0,26631637.865000,3,174495.082633,0,5,5.000000,5.000000,4.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,0,0.000000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,2.820000,2.830000,2.770000,2.820000,0.354610,-1.773050,0.000000,2024-05-16T09:30:00-04:00,0.354610,-1.241135,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,BYND,BBG003CVJP69,true,14,28,7.680000,7.680000,250637.032800,27620728.782500,495674158.080000,0.306700,0,,,,,,,,,,,,,0.000000,0,-0.919350,0,40.740741,0,0,0,0.684447,0,,,,,,,0.469004,0,-0.287568,0,-0.181436,0,ANALYST_ACTION,2,SINGLE_SOURCE,1,,0,10.408296,4,5.729167,1,27620728.782500,3,250637.032800,1,12,12.000000,12.000000,10.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,0,0.000000,alpha_v1.3_25m,,false,2,AVAILABLE,2,ANALYST_ACTION,HIGH_QUALITY_WIRE,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,7.750000,7.820000,7.180000,7.200000,0.903226,-7.354839,-7.096774,2024-05-16T09:30:00-04:00,0.903226,-2.258065,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,CADL,BBG00N0D4Z80,true,23,40,14.000000,14.420000,498973.230567,7535541.578500,404877340.000000,2.716113,4,-0.019860,0,-0.016884,0,-0.006096,0,11.117523,4,6.448307,4,3.730357,4,3.000000,2,-0.540011,0,46.153846,0,0,0,0.352988,0,27.777778,0,32.914339,0,41.159214,0,0.563602,1,2.617834,1,-0.181436,0,,0,UNVERIFIED,0,,0,9.493112,3,4.642857,1,7535541.578500,1,498973.230567,1,26,26.000000,26.000000,21.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,18,37.500000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,14.100000,14.300000,12.423300,12.700000,1.418440,-11.891489,-9.929078,2024-05-16T09:30:00-04:00,1.418440,-7.375887,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-05-16,CATX,BBG001S5Q300,true,11,21,1.570000,1.540000,60432.048133,9537728.929000,440496510.820000,4.425358,4,,,,,,,,,,,,,-1.910828,0,0.704381,2,40.000000,0,0,0,0.837290,0,,,,,,,0.469004,0,-2.198396,0,-0.181436,0,,0,UNVERIFIED,0,,0,9.434486,3,7.006369,2,9537728.929000,1,60432.048133,0,12,12.000000,12.000000,10.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,6,12.500000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,1.570000,1.600000,1.440000,1.530000,1.910828,-8.280255,-2.547771,2024-05-16T12:23:00-04:00,0.636943,-4.140127,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
